[2020-03-03T10:45:11+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:45:55+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:46:15+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:46:17+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:47:10+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:47:19+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:47:45+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:48:19+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:48:48+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:49:35+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:49:39+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:49:42+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:50:29+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T10:50:49+08:00][error] array_column() expects parameter 1 to be array, null given
